File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biosample Age	Biological replicate(s)	Technical replicate	Read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	File download URL	Assembly	Platform
ENCFF000XMC	bigBed narrowPeak	peaks	ENCSR000EVF	ChIP-seq	EFO:0002791	HeLa-S3	immortalized cell line	adult	female	Homo sapiens					TCF7L2-human	ENCAB000AOA	DNA		see document	see document		2011-10-29	ENCODE											ENCFF001VJL	224348	Peggy Farnham, USC	21433991600273efb09af873b134dd70	https://www.encodeproject.org/files/ENCFF000XMC/@@download/ENCFF000XMC.bigBed	hg19	
ENCFF000XMH	bigWig	signal	ENCSR000EVF	ChIP-seq	EFO:0002791	HeLa-S3	immortalized cell line	adult	female	Homo sapiens					TCF7L2-human	ENCAB000AOA	DNA		see document	see document		2011-10-29	ENCODE												261362524	Peggy Farnham, USC	aaef7e7c9d39e777af5448efb948f64e	https://www.encodeproject.org/files/ENCFF000XMH/@@download/ENCFF000XMH.bigWig	hg19	
ENCFF447EIA	bigBed narrowPeak	optimal idr thresholded peaks	ENCSR000EVF	ChIP-seq	EFO:0002791	HeLa-S3	immortalized cell line	adult	female	Homo sapiens					TCF7L2-human	ENCAB000AOA	DNA		see document	see document		2011-10-29	ENCODE											ENCFF002CTJ	265370	ENCODE Consortium	f1c6c5fad05640dd08ad57f6ae4d6f27	https://www.encodeproject.org/files/ENCFF447EIA/@@download/ENCFF447EIA.bigBed	hg19	
ENCFF000VKW	bigBed narrowPeak	peaks	ENCSR000EYF	ChIP-seq	EFO:0002869	U2OS	immortalized cell line	child	female	Homo sapiens					H3K9me3-human	ENCAB000ANQ	DNA		see document	see document		2011-05-19	ENCODE											ENCFF001VDL	3627813	Peggy Farnham, USC	9d319ef6b8fc2109a9a71a9058815bf8	https://www.encodeproject.org/files/ENCFF000VKW/@@download/ENCFF000VKW.bigBed	hg19	
ENCFF000VLA	bigWig	signal	ENCSR000EYF	ChIP-seq	EFO:0002869	U2OS	immortalized cell line	child	female	Homo sapiens					H3K9me3-human	ENCAB000ANQ	DNA		see document	see document		2011-05-19	ENCODE												283813093	Peggy Farnham, USC	3705af6d58a5968f7202069de64dffea	https://www.encodeproject.org/files/ENCFF000VLA/@@download/ENCFF000VLA.bigWig	hg19	
ENCFF000JBT	gtf	exon quantifications	ENCSR000CRL	RNA-seq	EFO:0003042	H1-hESC	stem cell	embryonic	male	Homo sapiens		nucleus					RNA	rRNA	see document	see document		2012-02-22	ENCODE												1032809	Thomas Gingeras, CSHL	6fd7e6b3c821057ec1f2c159f6eb845f	https://www.encodeproject.org/files/ENCFF000JBT/@@download/ENCFF000JBT.gtf.gz	hg19	
ENCFF000JBV	bigWig	minus strand signal	ENCSR000CRL	RNA-seq	EFO:0003042	H1-hESC	stem cell	embryonic	male	Homo sapiens		nucleus					RNA	rRNA	see document	see document		2012-02-22	ENCODE		see document	<200		2	1						1963696	Thomas Gingeras, CSHL	34b0ee01cf0202a92ca5c8900898f79b	https://www.encodeproject.org/files/ENCFF000JBV/@@download/ENCFF000JBV.bigWig	hg19	
ENCFF000JBW	bigWig	plus strand signal	ENCSR000CRL	RNA-seq	EFO:0003042	H1-hESC	stem cell	embryonic	male	Homo sapiens		nucleus					RNA	rRNA	see document	see document		2012-02-22	ENCODE		see document	<200		2	1						1984380	Thomas Gingeras, CSHL	813df911b2f3c04b72beed6f888b7749	https://www.encodeproject.org/files/ENCFF000JBW/@@download/ENCFF000JBW.bigWig	hg19	
ENCFF001NTH	bigWig	signal	ENCSR000ETD	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus	dimethyl sulfoxide				rat-IgG-control-mouse	ENCAB000AOH	DNA		see document	see document		2012-06-15	ENCODE												350322594	Michael Snyder, Stanford	a170de9cfac5db38214005379042dd8b	https://www.encodeproject.org/files/ENCFF001NTH/@@download/ENCFF001NTH.bigWig	mm9	
ENCFF000NCR	bigWig	raw signal	ENCSR000BJT	ChIP-seq	EFO:0001086	A549	immortalized cell line	adult	male	Homo sapiens	ethanol				NR3C1-human	ENCAB000AHB	DNA		see document	see document		2011-07-18	ENCODE		see document		58 year	1	1						35135314	Richard Myers, HAIB	33a2dda2c168eefbb8ab3cfc2f88dee1	https://www.encodeproject.org/files/ENCFF000NCR/@@download/ENCFF000NCR.bigWig	hg19	
ENCFF000NCT	bigWig	raw signal	ENCSR000BJT	ChIP-seq	EFO:0001086	A549	immortalized cell line	adult	male	Homo sapiens	ethanol				NR3C1-human	ENCAB000AHB	DNA		see document	see document		2011-07-18	ENCODE		see document		58 year	2	1						35440108	Richard Myers, HAIB	d7cb06c48a98b82b88dac514ece6fe22	https://www.encodeproject.org/files/ENCFF000NCT/@@download/ENCFF000NCT.bigWig	hg19	
ENCFF000PPK	bigBed broadPeak	peaks	ENCSR000BGL	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	Homo sapiens					SIN3A-human	ENCAB000AKS	DNA		see document	see document		2011-07-18	ENCODE		see document		15 year	1	1					ENCFF001UHK	401974	Richard Myers, HAIB	9de3226b1af6b6483b7060c6558ada06	https://www.encodeproject.org/files/ENCFF000PPK/@@download/ENCFF000PPK.bigBed	hg19	
ENCFF000PPL	bigBed broadPeak	peaks	ENCSR000BGL	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	Homo sapiens					SIN3A-human	ENCAB000AKS	DNA		see document	see document		2011-07-18	ENCODE		see document		15 year	2	1					ENCFF001UHL	914732	Richard Myers, HAIB	7ba06e9ccf0bab8df7469bf26f1f557b	https://www.encodeproject.org/files/ENCFF000PPL/@@download/ENCFF000PPL.bigBed	hg19	
ENCFF000PPO	bigWig	raw signal	ENCSR000BGL	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	Homo sapiens					SIN3A-human	ENCAB000AKS	DNA		see document	see document		2011-07-18	ENCODE		see document		15 year	1	1						14946845	Richard Myers, HAIB	2a52acb7848d5510387a8086fab7033b	https://www.encodeproject.org/files/ENCFF000PPO/@@download/ENCFF000PPO.bigWig	hg19	
ENCFF000PPP	bigWig	raw signal	ENCSR000BGL	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	Homo sapiens					SIN3A-human	ENCAB000AKS	DNA		see document	see document		2011-07-18	ENCODE		see document		15 year	2	1						48237360	Richard Myers, HAIB	c5ef48eb65f185c498268ea12021db41	https://www.encodeproject.org/files/ENCFF000PPP/@@download/ENCFF000PPP.bigWig	hg19	
ENCFF351QGY	bigBed narrowPeak	optimal idr thresholded peaks	ENCSR000BGL	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	Homo sapiens					SIN3A-human	ENCAB000AKS	DNA		see document	see document		2011-07-18	ENCODE											ENCFF002CLA	1065667	ENCODE Consortium	43810c9461ed15165cce10db57b736fe	https://www.encodeproject.org/files/ENCFF351QGY/@@download/ENCFF351QGY.bigBed	hg19	
ENCFF000PIY	bigBed broadPeak	peaks	ENCSR000BMC	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	Homo sapiens					HDAC2-human	ENCAB000AHJ	DNA		see document	see document		2011-07-18	ENCODE		see document		15 year	1	1					ENCFF001UGC	983531	Richard Myers, HAIB	a834652b3f4951aa89e13005e311a9c1	https://www.encodeproject.org/files/ENCFF000PIY/@@download/ENCFF000PIY.bigBed	hg19	
