study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	library_layout	library_source	experiment_title	experiment_alias	run_alias	fastq_ftp	submitted_ftp	submitted_format	sra_ftp	sample_alias	sample_title
PRJEB14054	SAMEA2080586	ERX1488961	ERR1418140	10090	Mus musculus	Illumina MiSeq	7607044	PAIRED	GENOMIC	Illumina MiSeq paired end sequencing	SC_EXP_10204_1#2	SC_RUN_10204_1#2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1418140/ERR1418140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1418140/ERR1418140_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10204_1#2.bam;ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10204_1#2.bam.bai	BAM;BAI	ftp.sra.ebi.ac.uk/vol1/err/ERR141/000/ERR1418140	DT_21-sc-2013-06-10T16:21:49Z-1645696	DT_21-sc-2013-06-10T16:21:49Z-1645696
PRJEB14054	SAMEA2078606	ERX1488962	ERR1418141	10090	Mus musculus	Illumina MiSeq	7607045	PAIRED	GENOMIC	Illumina MiSeq paired end sequencing	SC_EXP_10204_1#4	SC_RUN_10204_1#4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1418141/ERR1418141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1418141/ERR1418141_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10204_1#4.bam;ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10204_1#4.bam.bai	BAM;BAI	ftp.sra.ebi.ac.uk/vol1/err/ERR141/001/ERR1418141	DT_22-sc-2013-06-10T16:21:52Z-1645697	DT_22-sc-2013-06-10T16:21:52Z-1645697
PRJEB14054	SAMEA2078608	ERX1488963	ERR1418142	10090	Mus musculus	Illumina MiSeq	7607048	PAIRED	GENOMIC	Illumina MiSeq paired end sequencing	SC_EXP_10204_1#5	SC_RUN_10204_1#5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1418142/ERR1418142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1418142/ERR1418142_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10204_1#5.bam;ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10204_1#5.bam.bai	BAM;BAI	ftp.sra.ebi.ac.uk/vol1/err/ERR141/002/ERR1418142	DT_25-sc-2013-06-10T16:21:56Z-1645700	DT_25-sc-2013-06-10T16:21:56Z-1645700
PRJEB14054	SAMEA2078609	ERX1488964	ERR1418143	10090	Mus musculus	Illumina MiSeq	7607049	PAIRED	GENOMIC	Illumina MiSeq paired end sequencing	SC_EXP_10204_1#6	SC_RUN_10204_1#6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1418143/ERR1418143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1418143/ERR1418143_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10204_1#6.bam;ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10204_1#6.bam.bai	BAM;BAI	ftp.sra.ebi.ac.uk/vol1/err/ERR141/003/ERR1418143	DT_26-sc-2013-06-10T16:21:57Z-1645701	DT_26-sc-2013-06-10T16:21:57Z-1645701
PRJEB14054	SAMEA2080586	ERX1488965	ERR1418144	10090	Mus musculus	Illumina MiSeq	7607044	PAIRED	GENOMIC	Illumina MiSeq paired end sequencing	SC_EXP_10272_1#2	SC_RUN_10272_1#2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1418144/ERR1418144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1418144/ERR1418144_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10272_1#2.bam;ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10272_1#2.bam.bai	BAM;BAI	ftp.sra.ebi.ac.uk/vol1/err/ERR141/004/ERR1418144	DT_21-sc-2013-06-10T16:21:49Z-1645696	DT_21-sc-2013-06-10T16:21:49Z-1645696
PRJEB14054	SAMEA2078606	ERX1488966	ERR1418145	10090	Mus musculus	Illumina MiSeq	7607045	PAIRED	GENOMIC	Illumina MiSeq paired end sequencing	SC_EXP_10272_1#4	SC_RUN_10272_1#4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1418145/ERR1418145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1418145/ERR1418145_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10272_1#4.bam;ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10272_1#4.bam.bai	BAM;BAI	ftp.sra.ebi.ac.uk/vol1/err/ERR141/005/ERR1418145	DT_22-sc-2013-06-10T16:21:52Z-1645697	DT_22-sc-2013-06-10T16:21:52Z-1645697
PRJEB14054	SAMEA2078608	ERX1488967	ERR1418146	10090	Mus musculus	Illumina MiSeq	7607048	PAIRED	GENOMIC	Illumina MiSeq paired end sequencing	SC_EXP_10272_1#5	SC_RUN_10272_1#5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1418146/ERR1418146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1418146/ERR1418146_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10272_1#5.bam;ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10272_1#5.bam.bai	BAM;BAI	ftp.sra.ebi.ac.uk/vol1/err/ERR141/006/ERR1418146	DT_25-sc-2013-06-10T16:21:56Z-1645700	DT_25-sc-2013-06-10T16:21:56Z-1645700
PRJEB14054	SAMEA2078609	ERX1488968	ERR1418147	10090	Mus musculus	Illumina MiSeq	7607049	PAIRED	GENOMIC	Illumina MiSeq paired end sequencing	SC_EXP_10272_1#6	SC_RUN_10272_1#6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1418147/ERR1418147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1418147/ERR1418147_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10272_1#6.bam;ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10272_1#6.bam.bai	BAM;BAI	ftp.sra.ebi.ac.uk/vol1/err/ERR141/007/ERR1418147	DT_26-sc-2013-06-10T16:21:57Z-1645701	DT_26-sc-2013-06-10T16:21:57Z-1645701
PRJEB14054	SAMEA2078611	ERX1488969	ERR1418148	10090	Mus musculus	Illumina MiSeq	7607053	PAIRED	GENOMIC	Illumina MiSeq paired end sequencing	SC_EXP_10273_1#2	SC_RUN_10273_1#2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1418148/ERR1418148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1418148/ERR1418148_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10273_1#2.bam;ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10273_1#2.bam.bai	BAM;BAI	ftp.sra.ebi.ac.uk/vol1/err/ERR141/008/ERR1418148	DT_37-sc-2013-06-10T16:22:01Z-1645704	DT_37-sc-2013-06-10T16:22:01Z-1645704
PRJEB14054	SAMEA2080647	ERX1488970	ERR1418149	10090	Mus musculus	Illumina MiSeq	7607054	PAIRED	GENOMIC	Illumina MiSeq paired end sequencing	SC_EXP_10273_1#4	SC_RUN_10273_1#4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1418149/ERR1418149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1418149/ERR1418149_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10273_1#4.bam;ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10273_1#4.bam.bai	BAM;BAI	ftp.sra.ebi.ac.uk/vol1/err/ERR141/009/ERR1418149	DT_38-sc-2013-06-10T16:22:02Z-1645705	DT_38-sc-2013-06-10T16:22:02Z-1645705
