Assay_Type_s	AvgSpotLen_l	BioSample_s	Center_Name_s	ENA_FIRST_PUBLIC_s	ENA_LAST_UPDATE_s	Experiment_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	AssemblyName_s	BioProject_s	Consent_s	LibrarySource_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s
ChIP-Seq	150	SAMEA3855928	THE WELLCOME TRUST SANGER INSTITUTE	2016-05-19	2016-05-19	ERX1489039	314	Illumina HiSeq 2500	PAIRED	ChIP	12805732	2016-05-20	2383	1204	ERR1418218	ERS1043062	df2619a0-7643-11e4-8102-68b59976a382	GCF_000001635.20	PRJEB14054	public	GENOMIC	Mus musculus	ILLUMINA	2017-01-07	ERP015660
ChIP-Seq	150	SAMEA3855928	THE WELLCOME TRUST SANGER INSTITUTE	2016-05-19	2016-05-19	ERX1489033	317	Illumina HiSeq 2500	PAIRED	ChIP	12805732	2016-05-20	2338	1173	ERR1418212	ERS1043062	df2619a0-7643-11e4-8102-68b59976a382	GCF_000001635.20	PRJEB14054	public	GENOMIC	Mus musculus	ILLUMINA	2017-01-07	ERP015660
ChIP-Seq	150	SAMEA3855931	THE WELLCOME TRUST SANGER INSTITUTE	2016-05-19	2016-05-19	ERX1489034	334	Illumina HiSeq 2500	PAIRED	ChIP	12805735	2016-05-20	2767	1377	ERR1418213	ERS1043065	df540770-7643-11e4-8102-68b59976a382	GCF_000001635.20	PRJEB14054	public	GENOMIC	Mus musculus	ILLUMINA	2017-01-07	ERP015660
ChIP-Seq	150	SAMEA3855931	THE WELLCOME TRUST SANGER INSTITUTE	2016-05-19	2016-05-19	ERX1489040	335	Illumina HiSeq 2500	PAIRED	ChIP	12805735	2016-05-20	2819	1412	ERR1418219	ERS1043065	df540770-7643-11e4-8102-68b59976a382	GCF_000001635.20	PRJEB14054	public	GENOMIC	Mus musculus	ILLUMINA	2017-01-07	ERP015660
ChIP-Seq	150	SAMEA3855932	THE WELLCOME TRUST SANGER INSTITUTE	2016-05-19	2016-05-19	ERX1489041	268	Illumina HiSeq 2500	PAIRED	ChIP	12805736	2016-05-20	2479	1288	ERR1418220	ERS1043066	df623840-7643-11e4-8102-68b59976a382	GCF_000001635.20	PRJEB14054	public	GENOMIC	Mus musculus	ILLUMINA	2017-01-07	ERP015660
ChIP-Seq	150	SAMEA3855932	THE WELLCOME TRUST SANGER INSTITUTE	2016-05-19	2016-05-19	ERX1489035	267	Illumina HiSeq 2500	PAIRED	ChIP	12805736	2016-05-20	2439	1258	ERR1418214	ERS1043066	df623840-7643-11e4-8102-68b59976a382	GCF_000001635.20	PRJEB14054	public	GENOMIC	Mus musculus	ILLUMINA	2017-01-07	ERP015660
ChIP-Seq	150	SAMEA3855935	THE WELLCOME TRUST SANGER INSTITUTE	2016-05-19	2016-05-19	ERX1489036	303	Illumina HiSeq 2500	PAIRED	ChIP	12805739	2016-05-20	2551	1256	ERR1418215	ERS1043069	df8eed90-7643-11e4-8102-68b59976a382	GCF_000001635.20	PRJEB14054	public	GENOMIC	Mus musculus	ILLUMINA	2017-01-07	ERP015660
ChIP-Seq	150	SAMEA3855935	THE WELLCOME TRUST SANGER INSTITUTE	2016-05-19	2016-05-19	ERX1489042	302	Illumina HiSeq 2500	PAIRED	ChIP	12805739	2016-05-20	2601	1290	ERR1418221	ERS1043069	df8eed90-7643-11e4-8102-68b59976a382	GCF_000001635.20	PRJEB14054	public	GENOMIC	Mus musculus	ILLUMINA	2017-01-07	ERP015660
ChIP-Seq	150	SAMEA3855936	THE WELLCOME TRUST SANGER INSTITUTE	2016-05-19	2016-05-19	ERX1489043	265	Illumina HiSeq 2500	PAIRED	ChIP	12805740	2016-05-20	2891	1403	ERR1418222	ERS1043070	dfa0eef0-7643-11e4-8102-68b59976a382	GCF_000001635.20	PRJEB14054	public	GENOMIC	Mus musculus	ILLUMINA	2017-01-07	ERP015660
ChIP-Seq	150	SAMEA3855936	THE WELLCOME TRUST SANGER INSTITUTE	2016-05-19	2016-05-19	ERX1489037	267	Illumina HiSeq 2500	PAIRED	ChIP	12805740	2016-05-20	2838	1368	ERR1418216	ERS1043070	dfa0eef0-7643-11e4-8102-68b59976a382	GCF_000001635.20	PRJEB14054	public	GENOMIC	Mus musculus	ILLUMINA	2017-01-07	ERP015660
