comment	use	date	url	sraid	rep	runtype	readlength	SRA_ReadClass	experiment	species	assembly	cell	GEO_Sample	GEO_Series	lab	platform
na	0	2016/07/06	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX122/SRX122668/SRR414980/SRR414980.sra	SRR414980	1	se	100	"application read"	sscips	ssc	susScr2	iPS	GSM881389	GSE36114	"Sheng Zhong UCSD"	GAII
na	1	2016/07/06	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX211/SRX211579/SRR636839/SRR636839.sra	SRR636839	1	pe	51	"application read"	btaliver	bta	bosTau7	liver	GSM1054989	GSE43013	EWHA	GAIIx
na	1	2016/07/06	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX211/SRX211580/SRR636840/SRR636840.sra	SRR636840	2	pe	51	"application read"	btaliver	bta	bosTau7	liver	GSM1054990	GSE43013	EWHA	GAIIx
na	1	2016/07/06	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX211/SRX211629/SRR636889/SRR636889.sra	SRR636889	1	pe	51	"application read"	btakidney	bta	bosTau7	kidney	GSM1055039	GSE43013	EWHA	GAIIx
na	1	2016/07/06	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX211/SRX211630/SRR636890/SRR636890.sra	SRR636890	2	pe	51	"application read"	btakidney	bta	bosTau7	kidney	GSM1055040	GSE43013	EWHA	GAIIx
na	1	2016/07/06	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX211/SRX211582/SRR636842/SRR636842.sra	SRR636842	1	pe	51	"application read"	cfaliver	cfa	canFam3	liver	GSM1054992	GSE43013	EWHA	GAIIx
na	1	2016/07/06	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX211/SRX211583/SRR636843/SRR636843.sra	SRR636843	2	pe	51	"application read"	cfaliver	cfa	canFam3	liver	GSM1054993	GSE43013	EWHA	GAIIx
na	1	2016/07/06	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX211/SRX211632/SRR636892/SRR636892.sra	SRR636892	1	pe	51	"application read"	cfakidney	cfa	canFam3	kidney	GSM1055042	GSE43013	EWHA	GAIIx
na	1	2016/07/06	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX211/SRX211633/SRR636893/SRR636893.sra	SRR636893	2	pe	51	"application read"	cfakidney	cfa	canFam3	kidney	GSM1055043	GSE43013	EWHA	GAIIx
na	1	2016/07/06	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX211/SRX211621/SRR636881/SRR636881.sra	SRR636881	1	pe	51	"application read"	sscliver	ssc	susScr2	liver	GSM1055031	GSE43013	EWHA	GAIIx
